title,Movie_Rating,No_of_Ratings,Format,ReleaseYear,MPAA_Rating,Directed_By,Starring,Price
I Was There: The Great War Interviews,4.7,4,Prime Video,2014.0,R,Detlef Siebert,Samuel West,4.830464886251237
The Boss Baby,4.7,29250,Prime Video,2017.0,PG,Tom McGrath,"Alec Baldwin,Steve Buscemi,Jimmy Kimmel",2.89
The Hunted,4.5,2441,Prime Video,2003.0,R,William Friedkin,"Tommy Lee Jones,Benicio Del Toro,Connie Nielsen",4.830464886251237
Let There Be Light,4.6,2265,Prime Video,2017.0,PG-13,Kevin Sorbo,"Kevin Sorbo,Sam Sorbo,Dionne Warwick,Travis Tritt",4.830464886251237
Love By Accident,4.1,50,Prime Video,2020.0,G,Justin G. Dyck,"Henderson Wade,Getenesh Berhe,Conrad Coates",4.830464886251237
John Wayne & Maureen O'Hara in McLintock! - The Uncut Classic With Bonus Footage,4.4,84,Prime Video,1963.0,R,Andrew V. McLaglen,"John Wayne,Maureen O'Hara,Patrick Wayne",3.99
Run All Night,4.4,3477,Prime Video,2015.0,R,Jaume Collet-Serra,"Liam Neeson,Joel Kinnaman,Vincent D'Onofrio",4.830464886251237
Thiruchitrambalam,4.5,2,Prime Video,2022.0,R,Mithran Jawahar,"Dhanush,Nithya Menen,Raashi Khanna",4.830464886251237
Shrooms,4.0,780,Prime Video,2008.0,R,Paddy Breathnach,"Maya Hazen,Lindsey Haun,Max Kasch,Jack Huston",2.99
Cartoon Classics - Vol. 3: 25 Favorite Cartoons - 3 Hours,4.5,322,Prime Video,2017.0,PG-13,"Max Fleischer,Tex Avery","Bugs Bunny,Daffy Duck,Casper the Friendly Ghost",4.830464886251237
Girl with the Dragon Tattoo,4.7,9193,Prime Video,2011.0,R,David Fincher,"Daniel Craig,Rooney Mara,Christopher Plummer",3.59
Timeless Love,4.7,483,Prime Video,2019.0,R,Brian Brough,"Rachel Skarsten,Brant Daugherty,Jill Adler",4.830464886251237
Secrets of the Mega Resort,4.4,11,Prime Video,2019.0,R,,Phil Stein,4.830464886251237
Aliens Vs. Predator: Requiem,4.4,5435,Prime Video,2007.0,R,"Colin Strause,Greg Strause","Reiko Aylesworth,Steven Pasquale,John Ortiz",3.99
Pennywise: The Story of IT,4.6,552,Prime Video,2022.0,R,"John Campopiano,Christopher Griffiths","Tim Curry,Tommy Lee Wallace,Richard Thomas,Seth Green",4.830464886251237
Alpha and Omega 2: A Howl-iday Adventure,4.4,548,Prime Video,2013.0,R,Richard Rich,"Ben Diskin,Kate Higgins,Liza West,Lindsay Torrance",4.830464886251237
Tyler Perry's Madea's Neighbors From Hell (Play),4.6,4336,Prime Video,2014.0,R,Tyler Perry,"Tyler Perry,Cassi Davis,Wes Morgan",3.99
Shrek 2,4.8,25403,Prime Video,2004.0,PG,"Andrew Adamson,Kelly Asbury,Conrad Vernon","Mike Myers,Eddie Murphy,Cameron Diaz,Julie Andrews",3.79
Brooklyn's Finest,4.6,1140,Prime Video,2010.0,R,Antoine Fuqua,"Don Cheadle,Ethan Hawke,Richard Gere,Wesley Snipes",1.99
The Animal,4.6,2431,Prime Video,2001.0,PG-13,Luke Greenfield,"Rob Schneider,Colleen Haskell,John C. McGinley",3.59
The GiggleBellies: Monster Trucks,4.3,62,Prime Video,2019.0,R,TheGiggleBellies,The GiggleBellies Monster Trucks,1.99
X-Men: The Last Stand,4.6,10495,Prime Video,2006.0,PG-13,Brett Ratner,"Hugh Jackman,Halle Berry,Ian McKellen,Famke Janssen",3.79
Night Hunter,4.2,240,Prime Video,2019.0,R,David Raymond,"Henry Cavill,Ben Kingsley,Alexandra Daddario",4.830464886251237
The Final Say,4.9,17,Prime Video,2023.0,R,Christopher Nolen,"Deborah Joy Winans,Timon Kyle Durrett,Tiffany Snow",4.830464886251237
Girl with the Dragon Tattoo,4.7,9193,Prime Video,2011.0,R,David Fincher,"Daniel Craig,Rooney Mara,Christopher Plummer",3.59
Black Beach/White Beach,4.0,82,Prime Video,2018.0,R,Ricky Kelly,"Ricky Kelly,Anson Asaka,Dr. Umar Johnson,David Hucks",4.830464886251237
Shrooms,4.0,780,Prime Video,2008.0,R,Paddy Breathnach,"Maya Hazen,Lindsey Haun,Max Kasch,Jack Huston",2.99
Not Without My Daughter,4.7,3341,Prime Video,1991.0,PG-13,,Brian Gilbert,4.830464886251237
Alpha and Omega 2: A Howl-iday Adventure,4.4,548,Prime Video,2013.0,R,Richard Rich,"Ben Diskin,Kate Higgins,Liza West,Lindsay Torrance",4.830464886251237
Tyler Perry's Madea's Neighbors From Hell (Play),4.6,4336,Prime Video,2014.0,R,Tyler Perry,"Tyler Perry,Cassi Davis,Wes Morgan",3.99
The Hobbit: The Battle of the Five Armies,4.8,27007,Prime Video,2014.0,PG-13,Peter Jackson,"Martin Freeman,Ian McKellen,Richard Armitage",4.830464886251237
Shrek 2,4.8,25403,Prime Video,2004.0,PG,"Andrew Adamson,Kelly Asbury,Conrad Vernon","Mike Myers,Eddie Murphy,Cameron Diaz,Julie Andrews",3.79
Turbo Kid,4.6,950,Prime Video,2015.0,R,"Anouk Whissell,Francois Simard,Yoann-Karl Whissell","Munro Chambers,Laurence Lebouef,Michael Ironside",1.99
Savannah,4.0,315,Prime Video,2014.0,PG-13,Annette Haywood-Carter,"Jim Caviezel,Chiwetel Ejiofor,Jaimie Alexander",4.830464886251237
Brooklyn's Finest,4.6,1140,Prime Video,2010.0,R,Antoine Fuqua,"Don Cheadle,Ethan Hawke,Richard Gere,Wesley Snipes",1.99
Breakheart Pass,4.6,1137,Prime Video,1976.0,PG,,Tom Gries,4.830464886251237
Mrs. Palfrey At The Claremont,4.7,3075,Prime Video,2008.0,R,Dan Ireland,"Joan Plowright,Rupert Friend,Zoë Tapper,Robert Lang",4.830464886251237
CrazySexyCool: The TLC Story,4.8,936,Prime Video,2013.0,R,Charles Stone III,"Keke Palmer,Rochelle Aytes,Evan Ross",17.99
Airspeed,4.1,115,Prime Video,2004.0,PG,Robert Tinnell,"Elisha Cuthbert,Joe Mantegna",4.830464886251237
Kellen Erskine: Zoomed Out,4.6,3,Prime Video,2022.0,R,Brian Volk-Weiss,Kellen Erskine,4.830464886251237
Cartoon Classics - Vol. 3: 25 Favorite Cartoons - 3 Hours,4.5,322,Prime Video,2017.0,PG-13,"Max Fleischer,Tex Avery","Bugs Bunny,Daffy Duck,Casper the Friendly Ghost",4.830464886251237
The More You Ignore Me,4.2,168,Prime Video,2020.0,R,Keith English,"Ella Hunt,Sheridan Smith,Mark Addy,Sally Phillips",4.830464886251237
Gone Girl,4.6,25865,Prime Video,2014.0,R,David Fincher,"Ben Affleck,Rosamund Pike,Neil Patrick Harris",3.79
Ready Player One,4.7,61727,Prime Video,2018.0,PG-13,Steven Spielberg,"Tye Sheridan,Olivia Cooke,Ben Mendelsohn,T.J. Miller",3.79
Senior Moment,4.0,5443,Prime Video,2021.0,R,Giorgio Serafini,"William Shatner,Jean Smart,Christopher Lloyd",2.99
The strange case of the claustrophobic ghost,4.0,1,Prime Video,2023.0,R,Alejandro Sugich L.A.,"Lukas Urkijo,Ana Emilia,Fausto Espejel,Danae Reynaud",4.830464886251237
Brotherhood,4.3,73,Prime Video,2011.0,R,Wayne Rose,Steven Seagal,4.830464886251237
Time Simply Passes,4.7,37,Prime Video,2018.0,R,Ty Flowers,"James Joseph Richardson,Mark Lane,Janet Reno",4.830464886251237
The Way of the West (2011),4.0,114,Prime Video,2011.0,R,Wyeth Clarkson (S. Wyeth Clarkson),"Jessica Paré,Tony Munch,George Buza,Andrew W. Walker",4.830464886251237
The Autopsy of Jane Doe,4.6,4032,Prime Video,2016.0,R,Andre Ovredal,"Brian Cox,Emile Hirsch,Ophelia Lovibond",9.99
A Star Is Born (1976),4.6,10831,Prime Video,1976.0,R,Frank Pierson,"Barbra Streisand,Kris Kristofferson,Gary Busey",2.99
Eight Men Out,4.7,1101,Prime Video,1988.0,R,John Sayles,"Charlie Sheen,Christopher Lloyd,Clifton James",4.830464886251237
The Indian Fighter,4.5,183,Prime Video,1955.0,R,Andre De Toth,"Kirk Douglas,Elsa Martinelli,Walter Matthau",4.830464886251237
Black Girl Missing,4.6,419,Prime Video,2023.0,R,,Johnson Management Group,2.99
The Blair Witch Project,4.3,9630,Prime Video,1999.0,R,"Daniel Myrick,Eduardo Sanchez","Heather Donahue,Joshua Leonard,Michael C. Williams",3.99
Unacknowledged: An Expose of the World's Greatest Secret,4.4,2442,Prime Video,2017.0,R,Michael Mazzola,"Steven M. Greer,Giancarlo Esposito,Richard Doty",2.99
Gary Owen: #DoinWhatIDo,4.6,918,Prime Video,2019.0,R,Brian Volk-Weiss,Gary Owen,4.830464886251237
Tyler Perry's Daddy's Little Girls,4.8,1171,Prime Video,2007.0,PG-13,Tyler Perry,"Gabrielle Union,Idris Elba,Louis Gossett Jr.",4.830464886251237
It Follows,4.3,8532,Prime Video,2015.0,R,David Robert Mitchell,"Maika Monroe,Keir Gilchrist,Daniel Zovatto",3.99
The Red Violin,4.8,2402,Prime Video,1999.0,R,François Girard,"Samuel L. Jackson,Carlo Cecchi,Irene Grazioli",4.830464886251237
Legends of Oz: Dorothy's Return,4.5,647,Prime Video,2014.0,PG,Will Finn,"Lea Michele,Martin Short,Bernadette Peters",4.830464886251237
Mem Famous,4.8,13,Prime Video,2023.0,R,Sumanth Prabhas,"Sumanth Prabhas,Saarya Laxman,Mani Aegurla",1.99
A Midsummer Night's Dream,4.1,147,Prime Video,2023.0,R,David Kerr,"John Hannah,Matt Lucas,Bernard Cribbins",4.830464886251237
The Final Say,4.9,17,Prime Video,2023.0,R,Christopher Nolen,"Deborah Joy Winans,Timon Kyle Durrett,Tiffany Snow",4.830464886251237
Relaxing Beach Campfire 8 hours,4.1,66,Prime Video,2017.0,R,,Mark Knight,1.99
Absolutely Anything,4.0,1396,Prime Video,2017.0,R,Terry Jones,"Simon Pegg,Kate Beckinsale,Sanjeev Bhaskar,Rob Riggle",3.99
Princess Caraboo,4.5,245,Prime Video,1994.0,PG,Michael Austin,"Phoebe Cates,Kevin Kline,John Lithgow,Stephen Rea",4.830464886251237
The More You Ignore Me,4.2,168,Prime Video,2020.0,R,Keith English,"Ella Hunt,Sheridan Smith,Mark Addy,Sally Phillips",4.830464886251237
Trial by Fire,4.4,591,Prime Video,2019.0,R,Edward Zwick,"Laura Dern,Emily Meade",3.79
Breakheart Pass,4.6,1137,Prime Video,1976.0,PG,,Tom Gries,4.830464886251237
The Last Keepers,4.3,712,Prime Video,2013.0,PG-13,Maggie Greenwald,"Virginia Madsen,Aidan Quinn,Zosia Mamet",4.830464886251237
Legends of Oz: Dorothy's Return,4.5,647,Prime Video,2014.0,PG,Will Finn,"Lea Michele,Martin Short,Bernadette Peters",4.830464886251237
Secrets of the Mega Resort,4.4,11,Prime Video,2019.0,R,,Phil Stein,4.830464886251237
Relaxing Beach Campfire 8 hours,4.1,66,Prime Video,2017.0,R,,Mark Knight,1.99
Blood Father,4.4,4371,Prime Video,2016.0,R,Jean-François Richet,"Mel GIbson,William H Macy,Erin Moriarty",4.830464886251237
Eden Lake,4.1,1574,Prime Video,2008.0,R,James Watkins,"Kelly Reilly,Michael Fassbender,Jack O'Connell",4.830464886251237
Chato's Land,4.3,796,Prime Video,1972.0,PG,Michael Winner,"Charles Bronson,Jack Palance,James Whitmore",4.830464886251237
Night Ambush,4.3,192,Prime Video,1958.0,R,"Powell,Michael,Pressburger,Emeric","Christopher Lee,Dirk Bogarde,Marius Goring",4.830464886251237
Bongwater,4.2,86,Prime Video,2013.0,R,Richard Sears,"Luke Wilson,Alicia Witt,Amy Locane,Brittany Murphy",4.830464886251237
A Night To Remember,4.7,2266,Prime Video,2023.0,R,Roy Ward Baker,"Kenneth More,Ronald Allen",4.830464886251237
Masters Of The Universe,4.7,4150,Prime Video,1987.0,PG,Gary Goddard,"Dolph Lundgren,Frank Langella,Meg Foster",4.830464886251237
Absolutely Anything,4.0,1396,Prime Video,2017.0,R,Terry Jones,"Simon Pegg,Kate Beckinsale,Sanjeev Bhaskar,Rob Riggle",3.99
Big Momma's House 2,4.7,2547,Prime Video,2006.0,PG-13,John Whitesell,"Martin Lawrence,Nia Long,Emily Procter,Zachary Levi",3.59
Run the Race,4.6,1236,Prime Video,2019.0,R,Chris Dowling,"Tanner Stine,Kristoffer Polaha",3.99
I Can Do Bad All By Myself (Stage Play),4.0,18,Prime Video,2002.0,R,Tyler Perry,"Tyler Perry,David Mann,Tamela Mann",4.830464886251237
Plan A,4.1,519,Prime Video,2022.0,R,"Doron Paz,Yoav Paz","August Diehl,Sylvia Hoeks,Michael Aloni",1.99
The Last Keepers,4.3,712,Prime Video,2013.0,PG-13,Maggie Greenwald,"Virginia Madsen,Aidan Quinn,Zosia Mamet",4.830464886251237
Scary Movie,4.5,8074,Prime Video,2000.0,R,Keenen Ivory Wayans,"Regina Hall,Carmen Electra,Anna Faris,Jon Abrahams",4.830464886251237
Fright Night (1985),4.7,8404,Prime Video,1985.0,R,Tom Holland,"Chris Sarandon,William Ragsdale,Roddy McDowall",3.59
Horrible Bosses 2,4.6,10710,Prime Video,2014.0,R,Sean Anders,"Jason Bateman,Charlie Day,Jason Sudeikis",3.79
Jinkx Monsoon: Red Head Redemption,4.4,286,Prime Video,2023.0,R,Brian Volk-Weiss,Jinkx Monsoon,3.99
Brad Williams Fun Size,4.7,294,Prime Video,2015.0,R,Scott L. Montoya,Brad Williams,1.99
Beyonce & Jay-Z: Power Love,4.2,5,Prime Video,2021.0,R,Jordan Hill,"Beyonce Knowles,Jay-Z",4.830464886251237
Christmas on Holly Lane,4.5,232,Prime Video,2018.0,PG,Michael Scott,"Sarah Lancaster,Karen Holness,Gina Holden",4.830464886251237
King Arthur,4.6,5945,Prime Video,2004.0,PG-13,Antoine Fuqua,"Clive Owen,Keira Knightley,Ioan Gruffudd",3.79
The Hound Of The Baskervilles (1959),4.6,511,Prime Video,1959.0,R,Terence Fisher,"Peter Cushing,Andre Morell,Christopher Lee",4.830464886251237
The Inheritance,4.5,1147,Prime Video,1997.0,R,Bobby Roth,"Cari Shayne,Brigitta Dau,Brigid Brannagh",4.830464886251237
Yellowstone Supervolcano,4.0,3,Prime Video,2015.0,R,,Mary Anne Alton,4.830464886251237
The Place Beyond The Pines,4.5,4095,Prime Video,2013.0,R,Derek Cianfrance,"Ryan Gosling,Ray Liotta,Bradley Cooper,Eva Mendes",3.79
The Hobbit: The Desolation of Smaug,4.8,33990,Prime Video,2013.0,PG-13,Peter Jackson,"Ian McKellen,Martin Freeman,Richard Armitage",3.99
Some Kind of Hero,4.4,258,Prime Video,1982.0,R,Michael Pressman,"Richard Pryor,Margot Kidder,Ray Sharkey,Ronny Cox",3.79
Spider-Man: No Way Home (Bonus Content),4.8,79317,Prime Video,2021.0,R,Jon Watts,"Tom Holland,Zendaya,Benedict Cumberbatch,Jon Favreau",12.99
Halloween II,4.6,5405,Prime Video,1981.0,R,Rob Zombie,"Scout Taylor-Compton,Tyler Mane,Malcolm McDowell",3.99
Leonie,4.1,783,Prime Video,2010.0,PG-13,Hisako Matsui,"Emily Mortimer,Christina Hendricks,Mary Kay Place",4.830464886251237
Little Shop of Horrors,4.8,17706,Prime Video,1986.0,PG-13,Frank Oz,"Levi Stubbs,Rick Moranis,Ellen Greene",4.830464886251237
Man of Tai Chi,4.4,2431,Prime Video,2013.0,R,Keanu Reeves,"Keanu Reeves,Tiger Hu Chen,Karen Mok,Simon Yam",4.830464886251237
American Ultra,4.3,9008,Prime Video,2015.0,R,Nima Nourizadeh,"Jesse Eisenberg,Kristen Stewart,Topher Grace",3.99
Battle for Sevastopol,4.4,3020,Prime Video,2016.0,R,Sergei Mokritsky,"Yulia Peresild,Joan Blackham,Eugeniy Tsiganov",4.830464886251237
Asian Tsunami: The Deadliest Wave,4.7,7,Prime Video,2014.0,R,,Marc Tiley,4.830464886251237
Renfroe's White Christmas,5.0,6,Prime Video,1997.0,R,Charles B. Pierce,"Nicholas Todd,Daniel Glover,Aaron Bohl",2.99
Rain Man,4.7,5486,Prime Video,1988.0,R,Barry Levinson,"Dustin Hoffman,Tom Cruise,Valeria Golino",3.89
Madea's Big Happy Family (Play),4.8,2737,Prime Video,2010.0,R,Tyler Perry,"Chandra Currelley-Young,Tyler Perry,Cassi Davis",3.99
The Goonies [4K UHD],4.8,39613,4K,2023.0,R,Richard Donner,"Sean Astin,Josh Brolin,Jeff Cohen,Corey Feldman",15.59
Game of Thrones: The Complete Collection [4K UHD],4.6,10224,4K,2023.0,R,Various,Various,119.99
The Players Club,4.1,28,Prime Video,1998.0,R,Ice Cube,"Bernie Mac,Monica Calhoun,AJ Johnson,Ice Cube",4.830464886251237
Munchies,4.0,148,Prime Video,1987.0,PG,Tina Hirsch,"Harvey Korman,Charlie Stratton,Nadine Van der Velde",4.830464886251237
You're Not Alone,4.0,552,Prime Video,2020.0,R,Eduardo Rodriguez,"Katia Winter,Julee Cerda,Zach Avery,Richard Bekins",4.830464886251237
Robo,4.3,73,Prime Video,2020.0,R,Sarik Andreasyan,"Vladimir Vdovichenkov,Maria Mironova",4.830464886251237
Alpha and Omega: Dino Digs,4.5,164,Prime Video,2016.0,R,Tim Maltby,"Ben Diskin,Kate Higgins,Erin Fitzgerald,Chris Smith",4.830464886251237
The Living Daylights,4.6,2162,Prime Video,1987.0,PG,John Glen,"Timothy Dalton,Maryam D'abo,Jeroen Krabbe",3.99
Jim Gaffigan: Noble Ape,4.4,720,Prime Video,2018.0,R,Jeannie Gaffigan,Jim Gaffigan,4.830464886251237
Antwone Fisher,4.8,3937,Prime Video,2003.0,PG-13,---,"Denzel Washington,Derek Luke",3.99
Gunless,4.4,402,Prime Video,2010.0,R,William Phillips,"Paul Gross,Sienna Guillory,Dustin Milligan",4.830464886251237
A Bold Affair,5.0,1,Prime Video,1998.0,R,Rick Jacobson,"Jeff Trachta,Schae Harrison,Sandra Dee Robinson",4.830464886251237
Shania: A Life in Eight Albums,4.4,32,Prime Video,2005.0,R,Jerry Ciccoritti,"Meredith Henderson,Megan Follows,Diego Klattenhoff",4.830464886251237
Death Sentence,4.5,2638,Prime Video,2007.0,R,James Wan,"Kevin Bacon,Kelly Preston,Garrett Hedlund",4.830464886251237
Tornado Valley,4.2,294,Prime Video,2009.0,R,Andrew C. Erin,"Meredith Monroe,Cameron Bancroft,Pascale Hutton",4.830464886251237
The Cabin in the Woods,4.5,13301,Prime Video,2012.0,R,Drew Goddard,"Kristen Connolly,Chris Hemsworth,Anna Hutchison",4.830464886251237
Secretary,4.3,6998,Prime Video,2002.0,R,Steven Shainberg,"James Spader,Maggie Gyllenhaal,Jeremy Davies",4.830464886251237
Trial by Fire,4.4,591,Prime Video,2019.0,R,Edward Zwick,"Laura Dern,Emily Meade",3.79
The Matchmaker's Playbook,4.3,1679,Prime Video,2018.0,R,Tosca Musk,"Caitlin Carver,Justene Alpert,Tyler Johnson",3.99
Anchorman: The Legend of Ron Burgundy,4.6,17299,Prime Video,2004.0,R,Adam McKay,"Will Ferrell,Christina Applegate,Steve Carell",3.99
The Menu,4.2,4974,Prime Video,2022.0,R,Mark Mylod,"Ralph Fiennes,Anya Taylor-Joy,Nicholas Hoult",2.99
The Wizard of Oz,4.8,9083,Prime Video,1939.0,G,Victor Fleming,"Judy Garland,Ray Bolger,Jack Haley,Bert Lahr",4.830464886251237
Spaceballs,4.8,13028,Prime Video,1987.0,PG,Mel Brooks,"Mel Brooks,John Candy,Rick Moranis,Bill Pullman",3.99
Shutter,4.3,1764,Prime Video,2008.0,PG-13,Masayuki Ochiai,"Joshua Jackson,Rachael Taylor,John Hensley",4.830464886251237
Invisible Life,4.0,147,Prime Video,2019.0,R,Karim Ainouz,"Julia Stockler,Carol Duarte,Flavia Gusmao",4.830464886251237
SECOND CHANCE CHRISTMAS,4.2,155,Prime Video,2017.0,R,Danny Buday,"Katrina Begin,Tilky Jones,Charlene Tilton",4.830464886251237
The Dark Knight,4.7,26252,Prime Video,2008.0,PG-13,Christopher Nolan,"Christian Bale,Heath Ledger,Maggie Gyllenhaal",3.99
Jeepers Creepers,4.6,7200,Prime Video,2001.0,R,Victor Salva,"Justin Long,Gina Philips,Patricia Belcher",4.830464886251237
Conan The Barbarian,4.3,3966,Prime Video,2011.0,R,Marcus Nispel,"Ron Perlman,Rachel Nichols,Stephen Lang,Rose McGowan",4.830464886251237
The Silence of the Lambs,4.8,17569,Prime Video,1991.0,R,Jonathan Demme,"Jodie Foster,Anthony Hopkins,Scott Glenn,Ted Levine",4.830464886251237
Prospect,4.1,1461,Prime Video,2018.0,R,"Christopher Caldwell,Zeek Earl","Sophie Thatcher,Pedro Pascal,Jay Duplass",4.830464886251237
Elephants of Kilimanjaro,4.0,3,Prime Video,2022.0,R,Marjolein Duermeijer,Simon Shrimpton Smith,2.99
The Matrix,4.7,26702,Prime Video,1999.0,R,"Lilly Wachowski,Lana Wachowski,Bruce Hunt","Keanu Reeves,Laurence Fishburne,Carrie-Anne Moss",3.99
Call Me: The Rise and Fall of Heidi Fleiss,4.4,95,Prime Video,2004.0,R,Charles McDougall,"Jamie-Lynn Sigler,Saul Rubinek,Emmanuelle Vaugier",4.830464886251237
Real Crime A Very Special Constable: Nisha Patel,4.5,2,Prime Video,2008.0,R,Tom Whitter,Mark Austin,4.830464886251237
John Wick,4.8,105415,Prime Video,2014.0,R,Chad Stahelski,"Keanu Reeves,Michael Nyqvist,Alfie Allen,Willam Dafoe",3.99
Don't Worry Darling,4.2,3130,Prime Video,2022.0,R,Olivia Wilde,"Florence Pugh,Harry Styles,Olivia Wilde,Gemma Chan",3.99
The Presidio,4.6,1630,Prime Video,1988.0,R,Peter Hyams,"Sean Connery,Mark Harmon,Meg Ryan,Jack Warden",3.79
Lady Mobster,4.7,22,Prime Video,1988.0,R,John Llewellyn Moxey,"Susan Lucci,Michael Nader,Roscoe Born,Thom Bray",4.830464886251237
The Phantom Empire,4.1,156,Prime Video,1989.0,R,Fred Olen Ray,"Ross Hagen,Jeffrey Combs,Dawn Wildsmith,Robert Quarry",4.830464886251237
Legend of the Red Dragon,4.4,187,Prime Video,2002.0,R,"Jing Wong,Corey Yuen",Jet Li,4.830464886251237
Conan The Barbarian,4.3,3966,Prime Video,2011.0,R,Marcus Nispel,"Ron Perlman,Rachel Nichols,Stephen Lang,Rose McGowan",4.830464886251237
Annie,4.8,2957,Prime Video,2014.0,PG,Will Gluck,"Quvenzhané Wallis,Cameron Diaz,Jamie Foxx",3.99
Return of Sabata,4.1,93,Prime Video,1972.0,PG,Gianfranco Parolini,"Lee Van Cleef,Reiner Schöne,Giampiero Albertini",4.830464886251237
Koyaanisqatsi,4.6,476,Prime Video,1982.0,R,Godfry Reggio,"Lou Dobbs,Ted Koppel",4.830464886251237
All About My Mother,4.7,927,Prime Video,2000.0,R,Pedro Almodovar,"Marisa Peredes,Penelope Cruz,Candela Pena",3.59
Shot In The Dark,4.0,10,Prime Video,2022.0,R,Keene McRae,"Kristoffer McMillan,Keene McRae,Christine Donlon",4.830464886251237
Dino Dana The Movie,4.6,15,Prime Video,2020.0,R,J.J. Johnson,"Michela Luci,Saara Chaudry,Richie Lawrence",4.830464886251237
Hereditary,4.3,15836,Prime Video,2018.0,R,Ari Aster,"Toni Collette,Alex Wolff,Milly Shapiro",4.830464886251237
The Silence of the Lambs,4.8,17569,Prime Video,1991.0,R,Jonathan Demme,"Jodie Foster,Anthony Hopkins,Scott Glenn,Ted Levine",4.830464886251237
The Pink Panther,4.6,3466,Prime Video,2006.0,PG,Shawn Levy,"Steve Martin,Kevin Kline,Jean Reno,Emily Mortimer",4.830464886251237
The Cutting Edge,4.7,607,Prime Video,1992.0,R,Paul Michael Glaser,"D.B. Sweeney,Moira Kelly,Roy Dotrice,Dwier Brown",4.830464886251237
All of Me,4.6,1322,Prime Video,1984.0,PG,Carl Reiner,"Steve Martin,Lily Tomlin,Richard Libertini",4.830464886251237
Crooklyn,4.8,4268,Prime Video,1994.0,R,Spike Lee,"Alfre Woodard,Delroy Lindo,David Patrick Kelly",3.59
Brad Williams: Daddy Issues,4.4,199,Prime Video,2016.0,R,Scott Montoya,Brad Williams,1.99
Khumba,4.4,423,Prime Video,2013.0,R,Anthony Silverston,"Jake T. Austin,Steve Buscemi,Laurence Fishburne",4.830464886251237
Black Screen Ocean Waves for Sleep 9 hours,4.3,35,Prime Video,2017.0,R,,Mark Knight,1.99
The Eight Hundred,4.0,3041,Prime Video,2020.0,R,Hu Guan,"Zhi-zhong Huang,Hao Ou,Wu Jiang,Yi Zhang",4.830464886251237
Once Upon A Time in the District,5.0,1,Prime Video,2023.0,R,Harold Jackson,"Judi Johnson,Ashley Rios,Karon Riley",4.830464886251237
The Pink Panther,4.6,3466,Prime Video,2006.0,PG,Shawn Levy,"Steve Martin,Kevin Kline,Jean Reno,Emily Mortimer",4.830464886251237
All About My Mother,4.7,927,Prime Video,2000.0,R,Pedro Almodovar,"Marisa Peredes,Penelope Cruz,Candela Pena",3.59
All of Me,4.6,1322,Prime Video,1984.0,PG,Carl Reiner,"Steve Martin,Lily Tomlin,Richard Libertini",4.830464886251237
Where the Red Fern Grows,4.8,1568,Prime Video,1974.0,R,"Jim McCullough Jr.,Norman Tokar","James Whitmore,Beverly Garland,Jack Ging",1.99
Crooklyn,4.8,4268,Prime Video,1994.0,R,Spike Lee,"Alfre Woodard,Delroy Lindo,David Patrick Kelly",3.59
Billy Two Hats,4.0,85,Prime Video,1974.0,PG,Ted Kotcheff,"Desi Arnaz Jr.,Gregory Peck,Jack Warden",4.830464886251237
Fire With Fire,4.3,1095,Prime Video,2012.0,R,David Barrett,"Josh Duhamel,Rosario Dawson,Bruce Willis",3.99
Pigs,5.0,2,Prime Video,1973.0,R,Marc Lawrence,"Jessy Vint,Tony Lawrence,Catherine Ross",4.830464886251237
The Secret Life of Pets 2,4.7,33504,Prime Video,2019.0,PG,Chris Renaud,"Kevin Hart,Harrison Ford,Patton Oswalt",3.99
Baby Boom,4.8,3852,Prime Video,1987.0,PG,Charles Shyer,"Diane Keaton,Sam Shepard,Harold Ramis,Sam Wanamaker",3.89
House of the Rising Sun,4.1,289,Prime Video,2011.0,R,Brian A. Miller,"David Batista,Amy Smart,Danny Trejo,Dominic Purcell",3.79
Noble Intentions,4.4,7,Prime Video,2023.0,R,James C. Turner,"Obba Babatunde,Aaron D. Spears",4.830464886251237
Field Of Honor (1986),4.3,3,Prime Video,1987.0,R,Hans Scheepmaker,"Frank Schaafsma,Guus Van Der Made",4.830464886251237
Young Guns II,4.7,5329,Prime Video,1990.0,PG-13,Geoff Murphy,"Emilio Estevez,Kiefer Sutherland",3.59
The Ash Lad: In Search of the Golden Castle,4.1,1034,Prime Video,2017.0,R,Mikkel Brænne Sandemose,"Vebjørn Enger,Eili Harboe,Mads Sjøgård Pettersen",4.830464886251237
Murder on the Orient Express,4.6,3507,Prime Video,1974.0,PG,Sidney Lumet,"Albert Finney,Lauren Bacall,Martin Balsam",3.29
Go to School and Learn with Blippi,4.3,12,Prime Video,2014.0,R,Stevin John,Stevin John,1.99
Super 8,4.6,6571,Prime Video,2011.0,R,J.J. Abrams,"Elle Fanning,Kyle Chandler,Joel Courtney",3.79
Armored,4.4,584,Prime Video,2009.0,PG-13,Nimrod Antal,"Matt Dillon,Jean Reno,Laurence Fishburne",3.99
What Haunts Us,4.2,414,Prime Video,2018.0,R,Paige Goldberg Tolmach,"Eddie Fischer,Guerry Glover,Mackie Krawcheck",0.99
Greyson Family Christmas,4.0,103,Prime Video,2019.0,R,Lisa France,"Robinne Lee,Stan Shaw,Kalilah Harris,Karson Kern",4.830464886251237
Brad Williams: Daddy Issues,4.4,199,Prime Video,2016.0,R,Scott Montoya,Brad Williams,1.99
